side,input,coef_std,coef_raw,window,n
D,age,-8.435014332738108,-2.0062467394080112,2014-2014,11251
D,age2,15.428403747238772,0.06497704854482439,2014-2014,11251
D,age3,-7.223300800493764,-0.0006991426787751295,2014-2014,11251
O,poss_pct,0.8168214189771287,4.492195476466097,2015-2015,11225
O,poss_pct2,0.6112270091883789,3.581783055253137,2015-2015,11225
O,gs_pct,-1.5804415598372066,-4.069953836716623,2015-2015,11225
O,gs_pct2,1.6360867774586403,3.795918370482338,2015-2015,11225
O,age,10.267345663159185,2.443817770636008,2015-2015,11225
O,age2,-18.25359617135368,-0.07693994884605858,2015-2015,11225
O,age3,8.139088623843362,0.000788561998385952,2015-2015,11225
D,poss_pct,-0.560856645320149,-3.0825110740719035,2015-2015,11235
D,poss_pct2,1.236180933791,7.242770532287323,2015-2015,11235
D,gs_pct,-0.4199896209315696,-1.0811340523807311,2015-2015,11235
D,gs_pct2,-0.43313505841692745,-1.0047627208148475,2015-2015,11235
D,age,-8.263259092171536,-1.9665380309471605,2015-2015,11235
D,age2,15.028293511958578,0.06333468743472773,2015-2015,11235
D,age3,-6.997184041522947,-0.0006777985016673466,2015-2015,11235
O,poss_pct,0.9083005027203046,4.998188989027892,2016-2016,11231
O,poss_pct2,0.5120098351107388,3.002594333705832,2016-2016,11231
O,gs_pct,-1.6276981652372517,-4.198225670196876,2016-2016,11231
O,gs_pct2,1.6936287887910086,3.9323611283029973,2016-2016,11231
O,age,9.403115699437398,2.239406045984165,2016-2016,11231
O,age2,-16.62707722346961,-0.07011369665007304,2016-2016,11231
O,age3,7.363268914888996,0.0007136647838590368,2016-2016,11231
D,poss_pct,-0.600748913336841,-3.303791223029335,2016-2016,11240
D,poss_pct2,1.2725398451490457,7.461417267892486,2016-2016,11240
D,gs_pct,-0.39589609609036475,-1.0207267909407638,2016-2016,11240
D,gs_pct2,-0.45653542893064075,-1.0598460609836924,2016-2016,11240
D,age,-7.821476082485507,-1.8625098676061542,2016-2016,11240
D,age2,14.243026663121054,0.060052173268916424,2016-2016,11240
D,age3,-6.660836939262271,-0.0006454805588374441,2016-2016,11240
O,poss_pct,0.8762971498988739,4.819200164500055,2017-2017,11233
O,poss_pct2,0.5392019198615678,3.160448685309195,2017-2017,11233
O,gs_pct,-1.6234920287895451,-4.184910393072645,2017-2017,11233
O,gs_pct2,1.6885247380551085,3.9204834900099175,2017-2017,11233
O,age,10.444589117279133,2.484927824055038,2017-2017,11233
O,age2,-18.713200078196493,-0.07882614183994185,2017-2017,11233
O,age3,8.4192554520165,0.0008150516790545848,2017-2017,11233
D,poss_pct,-0.5767405459565862,-3.1698751837874584,2017-2017,11242
D,poss_pct2,1.2477327927340092,7.312267602435411,2017-2017,11242
D,gs_pct,-0.37172252892534424,-0.9578295896847404,2017-2017,11242
D,gs_pct2,-0.4816289924121276,-1.1180889062839572,2017-2017,11242
D,age,-8.496324732171194,-2.0211388051034938,2017-2017,11242
D,age2,15.601034693264907,0.06570622725726508,2017-2017,11242
D,age3,-7.343716546643034,-0.0007107990278294655,2017-2017,11242
O,poss_pct,0.8567419522368185,4.711646049276523,2018-2018,11227
O,poss_pct2,0.5720470762335021,3.3531608521228726,2018-2018,11227
O,gs_pct,-1.6083386568110705,-4.146560749149726,2018-2018,11227
O,gs_pct2,1.6731952916077095,3.885689009130932,2018-2018,11227
O,age,10.014934793688745,2.385037216390939,2018-2018,11227
O,age2,-17.80071132542604,-0.07504500356550196,2018-2018,11227
O,age3,7.929698735813329,0.0007682481406236836,2018-2018,11227
D,poss_pct,-0.6401808800960788,-3.5184416190997028,2018-2018,11237
D,poss_pct2,1.3223171678404335,7.749747358299033,2018-2018,11237
D,gs_pct,-0.3917517451192403,-1.009607627075065,2018-2018,11237
D,gs_pct2,-0.4675309508249042,-1.085584817075916,2018-2018,11237
D,age,-9.051130867852933,-2.155191639758786,2018-2018,11237
D,age2,16.642580175213983,0.07015010420597288,2018-2018,11237
D,age3,-7.834688327996197,-0.0007588870587787822,2018-2018,11237
O,poss_pct,0.8286066142534178,4.557302110146127,2019-2019,11217
O,poss_pct2,0.6083652464915236,3.563482229571378,2019-2019,11217
O,gs_pct,-1.639094019787807,-4.224784809721662,2019-2019,11217
O,gs_pct2,1.6936253444162168,3.9303136846596867,2019-2019,11217
O,age,11.408879228315689,2.715837012178071,2019-2019,11217
O,age2,-20.72607530989529,-0.0873066086019143,2019-2019,11217
O,age3,9.47199035172029,0.0009165907991689715,2019-2019,11217
D,poss_pct,-0.6116550141840559,-3.361939934083782,2019-2019,11227
D,poss_pct2,1.2937514942315695,7.576840199286782,2019-2019,11227
D,gs_pct,-0.335865742132538,-0.865359419903942,2019-2019,11227
D,gs_pct2,-0.5156912350158014,-1.1965477223468088,2019-2019,11227
D,age,-8.297750680588873,-1.9749675372322613,2019-2019,11227
D,age2,15.23141917419232,0.0641502350191971,2019-2019,11227
D,age3,-7.169370608732651,-0.000693637773432562,2019-2019,11227
O,poss_pct,0.8797505728310336,4.836681343168023,2020-2020,11222
O,poss_pct2,0.5481036265375582,3.2100435376383887,2020-2020,11222
O,gs_pct,-1.668410756243833,-4.302195963564299,2020-2020,11222
O,gs_pct2,1.7355299520238472,4.029442665155042,2020-2020,11222
O,age,10.867391492901726,2.5873558655642293,2020-2020,11222
O,age2,-19.472956311572823,-0.08202869600496285,2020-2020,11222
O,age3,8.74998211627287,0.000846545088694573,2020-2020,11222
D,poss_pct,-0.6204820638582655,-3.4091028462800135,2020-2020,11232
D,poss_pct2,1.2997768748917968,7.611050344557017,2020-2020,11232
D,gs_pct,-0.37580923825575235,-0.9686943232347616,2020-2020,11232
D,gs_pct2,-0.4854786571702845,-1.1269774264908872,2020-2020,11232
D,age,-7.927860174210369,-1.8872329218995585,2020-2020,11232
D,age2,14.59068948391109,0.06145210516726496,2020-2020,11232
D,age3,-6.883471355540809,-0.0006658341716144352,2020-2020,11232
O,poss_pct,0.7910134890644973,4.3517729335261635,2021-2021,11208
