target,off,dfn,mult,mult_d,lam,lam_d,n_train,season,n,sd_prior_o,sd_resid_o,sd_rating_o,share_o,corr_o,corr_pr_o,sd_prior_d,sd_resid_d,sd_rating_d,share_d,corr_d,corr_pr_d
ship,xpts_ft,x3def,0.25,0.125,2863.09643365,1431.548216825,3,2024,425,1.5260526732855422,1.1873581523884602,2.051577285510254,0.33495596237175385,0.8071423139816528,0.13533327608250395,0.7629057241998263,1.4076168777110027,1.843090932015834,0.5832777449882018,0.6883520803672113,0.3552374502215485
ship,xpts_ft,x3def,0.25,0.25,2863.09643365,2863.09643365,3,2014,390,1.4292895356984179,1.1329230809575237,2.051944795134505,0.30483828139722385,0.8393278629875497,0.2953168959448631,0.855469437770192,1.0381129530054014,1.5103253740591314,0.47244165518997994,0.7456160239809593,0.24916619662967335
ship,xpts_ft,x3def,0.25,0.25,2863.09643365,2863.09643365,3,2019,414,1.4097070199117694,1.1227308890842076,1.9290319889709915,0.3387446801331956,0.7901388952583431,0.13322830674741515,0.8205862755210838,0.925055061149688,1.3761764744731722,0.4518423236380359,0.7408590641970998,0.20477005781798033
ship,xpts_ft,x3def,0.25,0.25,2863.09643365,2863.09643365,3,2024,425,1.5260526732855422,1.1897170676978674,2.051917309268729,0.3361767497176081,0.8060772030128253,0.13424212879937705,0.7629057241998263,1.0118161425258259,1.472789880223484,0.4719778579732086,0.7586257475202396,0.3373856916634725
ship,xpts_ft,x3def,0.25,0.5,2863.09643365,5726.1928673,3,2014,390,1.4292895356984179,1.1314615419252174,2.051253529186172,0.30425723306280916,0.8395671558891492,0.29567825557960553,0.855469437770192,0.7294045130586371,1.250284333892048,0.340344951771469,0.8297071011768241,0.22622216679026466
ship,xpts_ft,x3def,0.25,0.5,2863.09643365,5726.1928673,3,2019,414,1.4097070199117694,1.12347400846601,1.928428148646641,0.3394057024431436,0.7894216091074555,0.1316475116018949,0.8205862755210838,0.6406270974068583,1.152599192040672,0.30892566314187814,0.8386418107269277,0.20136465771678777
ship,xpts_ft,x3def,0.25,0.5,2863.09643365,5726.1928673,3,2024,425,1.5260526732855422,1.1923928147019867,2.0516341976073624,0.33778381912667504,0.8048150268812108,0.13228253361888265,0.7629057241998263,0.6910923196441185,1.1893398138096352,0.33764491869916546,0.8376235579846139,0.3155909759743969
ship,xpts_ft,x3def,0.5,0.03125,5726.1928673,357.88705420625,3,2014,390,1.4292895356984179,0.7745924646426464,1.8097035013577165,0.18320262084312539,0.9086871270115663,0.3004608561668817,0.855469437770192,2.2832970678341113,2.6938058413693033,0.7184429000294336,0.5743034796183102,0.30934398053212064
ship,xpts_ft,x3def,0.5,0.03125,5726.1928673,357.88705420625,3,2019,414,1.4097070199117694,0.7498859106654256,1.7140963144636994,0.191390309834168,0.8901259268133171,0.16447366161353602,0.8205862755210838,2.0810516743521905,2.435425101917859,0.7301568644805878,0.5111238544145034,0.21808642393027203
ship,xpts_ft,x3def,0.5,0.03125,5726.1928673,357.88705420625,3,2024,425,1.5260526732855422,0.8113713063522859,1.8359021200508703,0.1953170892326666,0.895648380123422,0.1549101517391682,0.7629057241998263,2.246689457245758,2.663370630579209,0.7115786053423152,0.6062823379476848,0.3865151357056328
ship,xpts_ft,x3def,0.5,0.0625,5726.1928673,715.7741084125,3,2014,390,1.4292895356984179,0.7739892017569693,1.809021374585349,0.18305534183033664,0.9087343038050301,0.3001273099292687,0.855469437770192,1.8549663490057773,2.273214817694528,0.665872553873132,0.6107707393471391,0.2906625875828787
