player,context,prior_o,rating_o,prior_d,rating_d
Trae Young,TOR,3.92303823490246,4.17704330360875,-1.1100880476892283,-2.2653132690619113
Shai Gilgeous-Alexander,UTA,5.056166579601866,7.059657100242044,0.30691818016284944,1.7962976645404392
Nikola Jokić,UTA,4.291275120828719,7.062690770974008,1.067763850696291,1.5523138533461407
Draymond Green,UTA,0.7353907018707952,-0.40766354659710324,1.9770905680759672,3.3348046076026434
Trae Young,UTA,4.014586572222079,4.251731969294646,-1.1100880476892283,-2.2564650159397983
Shai Gilgeous-Alexander,MEM,5.026104371571326,7.058112496086302,0.30691818016284944,1.799591340042856
Nikola Jokić,MEM,4.538498088424168,7.19263542906599,1.067763850696291,1.557938827995948
Draymond Green,MEM,0.7299212687332581,-0.4251181030116107,1.9770905680759672,3.335769869756626
Trae Young,MEM,4.067888297028132,4.278167151185462,-1.1100880476892283,-2.253412377712894
Shai Gilgeous-Alexander,WAS,5.229102013010005,7.162401372833784,0.30691818016284944,1.7984836724622943
Nikola Jokić,WAS,4.525302010426261,7.211209875451082,1.067763850696291,1.560204912800167
Draymond Green,WAS,0.7233632612586471,-0.4691683376099838,1.9770905680759672,3.34196553890195
Trae Young,WAS,4.063032353012314,4.275435235935776,-1.1100880476892283,-2.2535413476520376
Shai Gilgeous-Alexander,DET,5.394643402900482,7.176432685783057,0.30691818016284944,1.7726292686174459
Nikola Jokić,DET,4.093260280667759,7.021684756289263,1.067763850696291,1.5241264125279423
Draymond Green,DET,0.14112564394435645,-0.7118788567001609,1.9770905680759672,3.3317330709954036
Trae Young,DET,4.031930310139788,4.239423290686511,-1.1100880476892283,-2.279241764206062
Shai Gilgeous-Alexander,CHA,5.03075148010181,7.00471665484314,0.30691818016284944,1.7880007499291537
Nikola Jokić,CHA,4.174882060469744,7.0229782039375195,1.067763850696291,1.548665354106335
Draymond Green,CHA,0.640854288656721,-0.4630185756219738,1.9770905680759672,3.3352612419598735
Trae Young,CHA,3.9546009900637547,4.2021008414756,-1.1100880476892283,-2.262030620955297
