system,base,k,held_out,map_o,map_d,scale_o,scale_d,o0,o1,o2,o3,d0,d1,d2,d3,o4,d4,o5,d5
mspi1_lam05_linear+sat&age2&xsat300,mspi1_lam05,3,2017,linear+sat&age2&xsat300,linear+sat&age2&xsat300,1.589,1.81189,-0.46977,3.47054,0.01497,-0.23354,1.73738,-2.88933,-0.09919,0.09459,2.01315,-1.81099,,
mspi1_lam05_linear+sat&age2&xsat300,mspi1_lam05,3,2018,linear+sat&age2&xsat300,linear+sat&age2&xsat300,1.589,1.81189,-0.32069,3.44568,0.00544,-0.21957,1.73083,-2.94091,-0.1154,0.10487,1.77935,-1.80815,,
mspi1_lam05_linear+sat&age2&xsat300,mspi1_lam05,3,2019,linear+sat&age2&xsat300,linear+sat&age2&xsat300,1.589,1.81189,-0.50548,3.49854,0.00417,-0.20922,1.60463,-2.79566,-0.11668,0.10942,2.09064,-1.56363,,
mspi1_lam05_linear+sat&age2&xsat300,mspi1_lam05,3,2020,linear+sat&age2&xsat300,linear+sat&age2&xsat300,1.589,1.81189,-0.51366,3.52462,0.00824,-0.22135,1.74997,-2.81469,-0.10179,0.09423,2.09249,-1.84465,,
mspi1_lam05_linear+sat&age2&xsat300,mspi1_lam05,3,2021,linear+sat&age2&xsat300,linear+sat&age2&xsat300,1.589,1.81189,-0.47451,3.42704,-0.0081,-0.20774,1.71576,-2.73792,-0.1082,0.10569,2.01984,-1.76175,,
mspi1_lam05_linear+sat&age2&xsat300,mspi1_lam05,3,2022,linear+sat&age2&xsat300,linear+sat&age2&xsat300,1.589,1.81189,-0.53679,3.59112,0.00231,-0.21183,1.56334,-2.62844,-0.12269,0.11152,2.12758,-1.49262,,
mspi1_lam05_linear+sat&age2&xsat300,mspi1_lam05,3,2023,linear+sat&age2&xsat300,linear+sat&age2&xsat300,1.589,1.81189,-0.43314,3.40778,0.02571,-0.22718,1.65428,-2.79273,-0.11263,0.11443,1.96382,-1.64232,,
mspi1_lam05_linear+sat&age2&xsat300,mspi1_lam05,3,2024,linear+sat&age2&xsat300,linear+sat&age2&xsat300,1.589,1.81189,-0.57237,3.36733,-0.00671,-0.21908,1.89433,-2.74071,-0.12928,0.10146,2.19846,-2.12327,,
mspi1_lam05_linear+sat&age2&xsat300,mspi1_lam05,3,2025,linear+sat&age2&xsat300,linear+sat&age2&xsat300,1.589,1.81189,-0.47023,3.37936,0.0001,-0.20364,2.05102,-2.7129,-0.1166,0.10747,2.02139,-2.39799,,
mspi1_lam05_linear+sat&age2&xsat300,mspi1_lam05,3,-1,linear+sat&age2&xsat300,linear+sat&age2&xsat300,1.589,1.81189,-0.51257,3.46205,0.00947,-0.22082,1.66732,-2.80224,-0.11041,0.10379,2.08968,-1.68114,,
