season,side,component,n_tg,att,p,tau2,tau2_plain,tau2_half,tau2_mom,bias_exact,k_loo,k_half,k_mom,k,shrink_mean
2002,def,ft,2378,54480.0,0.7504221732745961,8.107698869073771e-06,2.8971794750430447e-06,-2.001902903805538e-05,1.8002500767636245e-05,-0.00011564595184025715,21956.29644137173,1000000.0,9888.350631084666,9888.350631084666,0.002561482345537464
2003,off,fg3,2378,34862.0,0.34937754575182145,0.0003751394714115605,0.00034092050743717825,0.0003858488104580802,0.00031621933854959815,-0.00018602292390826455,564.6483949119329,548.976424597949,669.8575152683931,669.8575152683931,0.02477426462537315
2003,off,fg2,2378,156966.0,0.46271804084961077,0.00019771298555862365,0.00017847125206423708,0.00015881296066632878,0.0001766566512370186,-4.682446607197008e-05,1237.1051310201622,1540.12460870737,1384.560089819217,1384.560089819217,0.04620963401232478
2003,off,ft,2378,55961.0,0.7560265184682189,0.0005977006949413078,0.0005885824900218395,0.0005287577596692733,0.0005727881127839392,-0.00010728872171901308,292.9723423469633,331.17201481617997,305.7147463627893,305.7147463627893,0.07754234610402143
2003,def,fg3,2378,34862.0,0.34937754575182145,0.00012255648977788064,8.279037913276733e-05,6.330480644687124e-05,7.59500351282419e-05,-0.00018765989308829105,1728.3613522592814,3346.063471158715,2788.9638239532946,2788.9638239532946,0.006078920683765173
2003,def,fg2,2378,156966.0,0.46271804084961077,0.00012063752291668697,0.00010229535921055565,0.00011417492085468186,0.00010266645417188044,-4.7905079249190804e-05,2027.493129752052,2142.254595605956,2382.3920956148145,2382.3920956148145,0.02739350089014692
2003,def,ft,2378,55961.0,0.7560265184682189,3.4048374218885734e-05,2.5767240910586953e-05,5.9913482762750654e-05,4.35245180416699e-05,-0.00011554674213703128,5142.970160444076,2922.7106244645115,4023.2443803677393,4023.2443803677393,0.006383395637698765
2004,off,fg3,2378,35466.0,0.34717757852591213,0.0001920515495063674,0.0001515246050871059,0.00016918041493222186,0.00014064348033160473,-0.0001837213626330105,1101.3122257377863,1250.1962448075572,1503.864373553325,1503.864373553325,0.01111943119128722
2004,off,fg2,2378,154202.0,0.45961141878834255,0.00016980118437272406,0.00015250887565912107,0.0001362776395866505,0.00015116385294376556,-4.771626031539878e-05,1438.7795737474291,1792.7113825467839,1616.1699435147434,1616.1699435147434,0.03912037618261971
2004,off,ft,2378,55816.0,0.7500179160097463,0.0006827430685427914,0.0006828554964823373,0.000601769783060281,0.0006598833111291457,-0.00010467013430117086,261.1798825076233,296.32387574873917,270.2277075620749,270.2277075620749,0.08698371095752742
2004,def,fg3,2378,35466.0,0.34717757852591213,0.00014428634452580172,0.00011128613694198459,-9.944170295232753e-06,0.00010413927134493381,-0.00018501920634401067,1465.8956129103785,1000000.0,2031.0178543758138,2031.0178543758138,0.008259770328017045
2004,def,fg2,2378,154202.0,0.45961141878834255,0.0002672793448800312,0.0002520365189850842,0.0002060578962300763,0.00024835407341604283,-4.679997549049523e-05,914.0492161235053,1185.6205471534727,983.7023098241448,983.7023098241448,0.0626751608209553
2004,def,ft,2378,55816.0,0.7500179160097463,2.526770892535868e-05,2.1614214614174133e-05,1.7859875272646377e-05,3.698119559279979e-05,-0.00011450682799056083,7057.179380673476,9984.322494010237,4821.876404115473,4821.876404115473,0.005350310621531921
2005,off,fg3,2460,38724.0,0.35559343043074065,0.00017245227841073294,0.0001325925943860286,0.0001034394480624767,0.00012666037993977778,-0.00017965610867120072,1242.4279489653707,2071.3522217446553,1691.6065675953623,1691.6065675953623,0.010645282093503867
2005,off,fg2,2460,158750.0,0.46993385826771655,0.00023753479054168048,0.00022075752369346262,0.00020453557711869443,0.00021716623584773395,-4.680153925963537e-05,1031.5317527039904,1197.9562786450797,1128.281649581263,1128.281649581263,0.05493684181396157
2005,off,ft,2460,62246.0,0.7546348359733959,0.0007908014501175233,0.0007889460259252313,0.0006356414940873857,0.0007667334765572599,-0.00010355549117677131,222.34757512683632,276.62257180498705,229.3271263306916,229.3271263306916,0.10679335430557993
2005,def,fg3,2460,38724.0,0.35559343043074065,2.6903152259462467e-05,-1.1228296331795295e-05,2.1228959284156607e-05,9.357334212655989e-07,-0.00018296240862836175,7964.105042184858,10092.794832394638,228974.96839480364,228974.96839480364,7.958978029046549e-05
2005,def,fg2,2460,158750.0,0.46993385826771655,0.00023754993148753466,0.00022057019751156004,0.00019055695068921725,0.00021703632444340363,-4.6876851607679445e-05,1031.466004983851,1285.834381424638,1128.957004980656,1128.957004980656,0.054905809204317466
2005,def,ft,2460,62246.0,0.7546348359733959,2.1297991283138188e-05,1.6353740196778403e-05,4.486784210206402e-05,3.917608552804085e-05,-0.00011414670202219123,8255.838895925623,3918.9044224689474,4488.268352246736,4488.268352246736,0.00611876087893176
2006,off,fg3,2460,39296.0,0.35822984527687296,0.00025866694046093174,0.0002237337940670148,0.0001184710407944788,0.00021017666905654724,-0.0001754602540092363,831.85492942245,1816.2528838952967,1023.7738111795742,1023.7738111795742,0.017435479474590086
