window,window_mid,player_id,player_name,poss_off,poss_def,shrinkage,prior_off,prior_def,prior_total,boost_off,boost_def,boost_total,u_off,u_def,u_total,u_plain_off,u_plain_def,u_plain_total,rapm_mm_off,rapm_mm_def,rapm_mm_total,rating_off,rating_def,rating_total,rating_off_raw,rating_def_raw,key,player_name_con,team,adj_offense,adj_defense,adj_overall,z_ours_total,z_con_total,d_total,rk_ours_total,rk_con_total,dr_total,z_ours_off,z_con_off,d_off,rk_ours_off,rk_con_off,dr_off,z_ours_def,z_con_def,d_def,rk_ours_def,rk_con_def,dr_def,bigness,minutes,orb,blk,drb,ast,fg3m,archetype,mins_bucket
2024-2026,2025.0,1642860,Will Riley,3426.0,3452.0,0.23,-0.687,-0.859,-1.546,-0.199,-0.107,-0.306,-0.392,-1.555,-1.948,-0.647,-1.72,-2.367,-1.334,-2.579,-3.913,-1.484,-3.002,-4.486,-1.079,-2.414,will riley,Will Riley,Washington Wizards,-1.2,-1.8,-3.0,-1.752,-1.068,-0.684,458.0,413.5,-44.5,-0.795,-0.393,-0.401,371.0,296.5,-74.5,-1.975,-1.678,-0.297,467.0,461.0,-6.0,0.168,1631.0,1.236,0.199,3.443,3.223,1.722,wing,1000-2000
2024-2026,2025.0,1631223,David Roddy,3458.0,3484.0,0.232,-1.975,-0.853,-2.828,-0.254,0.01,-0.244,-0.675,-0.418,-1.093,-1.22,-0.561,-1.781,-3.195,-1.413,-4.609,-1.853,-1.671,-3.524,-2.65,-1.271,david roddy,David Roddy,Denver Nuggets,-2.5,-0.5,-3.0,-1.316,-1.068,-0.248,426.0,413.5,-12.5,-1.076,-1.058,-0.018,418.0,423.0,5.0,-1.043,-0.488,-0.555,411.0,318.5,-92.5,1.732,1659.0,1.606,0.456,5.23,2.582,1.519,wing,1000-2000
2024-2026,2025.0,1631321,Sidy Cissoko,3499.0,3515.0,0.234,-1.299,-0.298,-1.597,0.3,0.98,1.28,-0.377,0.669,0.292,-0.712,0.733,0.021,-2.011,0.435,-1.576,-1.297,0.234,-1.064,-1.675,0.371,sidy cissoko,Sidy Cissoko,Portland Trail Blazers,-2.7,0.9,-1.8,-0.2,-0.576,0.375,270.0,332.0,62.0,-0.652,-1.16,0.508,343.0,433.5,90.5,0.289,0.794,-0.504,181.0,92.0,-89.0,1.143,1688.0,1.664,0.618,2.794,2.879,1.344,wing,1000-2000
2024-2026,2025.0,203926,Doug McDermott,3512.0,3525.0,0.235,-0.212,-1.073,-1.285,0.666,0.163,0.829,-0.428,-0.627,-1.055,-0.557,-0.709,-1.266,-0.769,-1.781,-2.551,-0.72,-2.151,-2.87,-0.64,-1.699,doug mcdermott,Doug McDermott,Sacramento Kings,-1.8,-1.9,-3.7,-1.02,-1.356,0.336,398.0,447.5,49.5,-0.211,-0.7,0.489,257.0,364.5,107.5,-1.38,-1.77,0.39,441.0,467.0,26.0,-1.42,1686.0,0.427,0.171,2.093,2.114,3.972,guard,1000-2000
2024-2026,2025.0,1631255,Karlo Matković,3541.0,3555.0,0.236,-1.894,0.222,-1.673,0.177,-0.195,-0.019,-0.101,0.161,0.06,-0.497,0.26,-0.237,-2.391,0.481,-1.909,-1.602,0.254,-1.347,-1.996,0.383,karlo matkovic,Karlo Matkovic,New Orleans Pelicans,-1.5,0.5,-0.9,-0.329,-0.206,-0.123,296.0,254.0,-42.0,-0.884,-0.547,-0.338,388.0,329.0,-59.0,0.304,0.427,-0.123,178.0,154.0,-24.0,5.288,1702.0,2.877,2.009,6.388,2.031,1.248,big,1000-2000
2024-2026,2025.0,1631248,Baylor Scheierman,3565.0,3548.0,0.237,-0.645,-0.486,-1.13,0.756,-0.171,0.585,0.029,0.975,1.004,-0.062,0.867,0.805,-0.707,0.381,-0.326,-0.842,0.381,-0.461,-0.616,0.489,baylor scheierman,Baylor Scheierman,Boston Celtics,-0.4,1.2,0.8,0.073,0.492,-0.419,229.0,134.0,-95.0,-0.305,0.016,-0.32,279.0,195.0,-84.0,0.392,1.068,-0.676,158.0,65.5,-92.5,0.746,1819.0,1.504,0.158,5.106,2.949,2.434,wing,1000-2000
2024-2026,2025.0,1641744,Zach Edey,3583.0,3581.0,0.238,-1.54,1.521,-0.019,-1.2,-0.305,-1.505,1.306,1.017,2.323,1.19,1.456,2.646,-0.35,2.977,2.627,-0.584,2.738,2.153,-0.234,2.538,zach edey,Zach Edey,Memphis Grizzlies,0.3,2.0,2.3,1.259,1.108,0.151,47.0,66.5,19.5,-0.108,0.374,-0.482,231.0,138.0,-93.0,2.042,1.801,0.241,15.0,23.0,8.0,9.584,1703.0,5.813,2.241,8.35,1.628,0.402,big,1000-2000
2024-2026,2025.0,1630548,Johnny Juzang,3583.0,3575.0,0.238,-1.017,-0.811,-1.828,0.013,-0.004,0.009,-0.235,-0.434,-0.669,-0.557,-0.641,-1.198,-1.574,-1.452,-3.025,-1.046,-1.609,-2.655,-1.253,-1.244,johnny juzang,Johnny Juzang,Minnesota Timberwolves,-1.5,-0.9,-2.5,-0.922,-0.863,-0.059,384.0,388.5,4.5,-0.46,-0.547,0.086,306.0,329.0,23.0,-1.001,-0.854,-0.146,403.0,385.5,-17.5,0.188,1725.0,1.127,0.23,3.819,2.024,3.256,wing,1000-2000
2024-2026,2025.0,1641757,Jordan Miller,3586.0,3603.0,0.238,-1.036,-0.631,-1.667,0.26,0.079,0.338,0.409,-1.422,-1.012,0.055,-1.392,-1.337,-0.981,-2.022,-3.003,-0.697,-2.537,-3.233,-0.627,-2.052,jordan miller,Jordan Miller,Los Angeles Clippers,-0.9,-0.7,-1.5,-1.184,-0.452,-0.732,416.0,299.0,-117.0,-0.194,-0.24,0.046,254.0,264.5,10.5,-1.65,-0.671,-0.978,455.0,358.0,-97.0,0.792,1768.0,1.548,0.326,3.441,3.462,0.957,wing,1000-2000
2024-2026,2025.0,1642272,Jared McCain,3611.0,3620.0,0.24,-0.379,-1.221,-1.6,-0.205,0.055,-0.15,-0.225,0.048,-0.177,-0.268,-0.132,-0.4,-0.647,-1.353,-1.999,-0.818,-1.52,-2.339,-0.604,-1.173,jared mccain,Jared McCain,Oklahoma City Thunder,-0.8,-0.1,-0.9,-0.779,-0.206,-0.572,366.0,254.0,-112.0,-0.287,-0.189,-0.098,276.0,249.5,-26.5,-0.938,-0.122,-0.816,390.0,243.0,-147.0,-0.961,1757.0,0.738,0.102,3.217,3.073,3.073,guard,1000-2000
