component,side,n_tg,att,p,within,tau2,tau2_plain,tau2_half,tau2_mom,bias_exact,n_half,k_loo,k_plain,k_half,k_mom,k_source,k,at_floor,shrink_mean
rim,off,1450,33984.0,0.6032250470809792,0.2247644715154982,0.0008900461801310658,0.0008627469955187722,0.0009371835023881012,0.0008824316412704173,-0.00027587749255460187,29,252.53124672969216,260.5218826410942,239.8297355243242,254.71034922536293,mom,254.71034922536293,False,0.08920255865205559
mid,off,1450,60232.0,0.37441891353433393,0.22809933925314288,0.00026152280855261915,0.00023812678923538838,0.00023904599785383812,0.00023659035900055512,-0.00011705778376372951,29,872.1967331092218,957.8902902338579,954.2068944932162,964.1108801589319,mom,964.1108801589319,False,0.0428094655130773
fg2,off,1450,94216.0,0.4569499872633098,0.24380139900454367,0.00032129593343054345,0.0002884703109494796,0.0003104567125313212,0.0002887766308634428,-8.135298357450554e-05,29,758.8063639692712,845.1524810372639,785.2991710718678,844.2559852422162,mom,844.2559852422162,False,0.0725857326159913
ft,off,1450,36459.0,0.726240434460627,0.18922313579601271,0.0007342232175359079,0.0007286787701102362,0.0006438558334426837,0.0007184308330691305,-0.0001801950027358193,29,257.71881258543635,259.6797705076362,293.890535687532,263.38392937236983,mom,263.38392937236983,False,0.09483320275769644
tov,off,1450,131629.0,0.16840513868524412,0.13833016890922278,9.933530294594072e-05,9.582965819124651e-05,8.477173761015791e-05,9.634972706827907e-05,-3.242035937635257e-05,29,1392.5579809677881,1443.5005980419792,1631.795841502807,1435.708985570804,mom,1435.708985570804,False,0.05968536155875835
oreb,off,1450,67644.0,0.3188900715510614,0.21165402259339078,0.0004702950068659045,0.0004682738891673943,0.00042830388052703816,0.00046628538072976714,-0.0001016833394367473,29,450.04522587614844,451.9876668112294,494.16788457051905,453.9152015920773,mom,453.9152015920773,False,0.09511491638641838
rim_share,off,1450,113262.0,0.3000476770673306,0.20469316419500524,0.0006673098577250527,0.0006628043994201903,0.0006101048935400695,0.000687687709889232,-9.388892184161543e-05,29,306.74380398460056,308.82891600307306,335.50487196930135,297.6542422547813,mom,297.6542422547813,False,0.20929550131815663
mid_share,off,1450,113262.0,0.5317935406402854,0.24157830105105502,0.0018457194413062927,0.00183325295325436,0.0017572981261233587,0.0018402419875117194,-0.00011211080244614039,29,130.8857108207518,131.77575992566068,137.47143837453606,131.27529025555208,mom,131.27529025555208,False,0.3746441243407077
thr_share,off,1450,113262.0,0.16815878229238404,0.13581862580567247,0.0013915179413631568,0.0013874787161273876,0.001305350114814663,0.001378646833464964,-5.345305872355405e-05,29,97.6046529968719,97.88879946552106,104.04766067298071,98.51589436021004,mom,98.51589436021004,False,0.4437349206453579
ftr,off,1450,129907.0,0.2806546221527708,0.1937182432086535,0.0006219874047306944,0.000622001695970018,0.0006550616206921434,0.0007016790683329716,-0.00015159294962784092,29,311.45042766987996,311.4432717205826,295.7252220088383,276.0781273821999,mom,276.0781273821999,False,0.24607813427826808
fg3,def,1450,19046.0,0.33870629003465297,0.20667403256560238,9.047364858777719e-06,-5.232477248092003e-05,2.9196204942082886e-05,9.239445502558527e-07,-0.00035049933901378703,29,22843.561168541582,1000000.0,7078.797842924651,223686.6189733697,mom,223686.6189733697,False,6.739056513592278e-05
rim,def,1450,33984.0,0.6032250470809792,0.2247644715154982,0.001410816006299803,0.0013909363703255252,0.0012332406494794425,0.0013739396327154551,-0.0002638528053469071,29,159.3152264447268,161.59220242612238,182.25515969683005,163.59122785567627,mom,163.59122785567627,False,0.1320054261102186
mid,def,1450,60232.0,0.37441891353433393,0.22809933925314288,0.000161259274165904,0.00013854648338513603,0.00011261660446820857,0.00014198863764086766,-0.00011953517091393107,29,1414.4881925889956,1646.374080957832,2025.4503350572504,1606.4619186647546,mom,1606.4619186647546,False,0.02615551562416705
fg2,def,1450,94216.0,0.4569499872633098,0.24380139900454367,0.00038781563545809404,0.0003575193779331523,0.00031251767705954943,0.00035526158474656773,-7.966806131932776e-05,29,628.6528358160742,681.9249921891752,780.1203480662246,686.2588286275416,mom,686.2588286275416,False,0.0878076746114437
ft,def,1450,36459.0,0.726240434460627,0.18922313579601271,4.472423961269624e-05,2.9850601077142375e-05,1.9030783428236057e-05,6.452748249755305e-05,-0.00019599456860827852,29,4230.8854758549405,6339.005881556848,9943.002951484463,2932.4425573737244,mom,2932.4425573737244,False,0.009393529884346821
tov,def,1450,131629.0,0.16840513868524412,0.13833016890922278,0.00013518425613242332,0.0001307451097762137,0.00013619998287512625,0.0001302575628446628,-3.1809939473112355e-05,29,1023.2712955399022,1058.01409433968,1015.6401343754175,1061.9741832125853,mom,1061.9741832125853,False,0.07902418856603924
oreb,def,1450,67644.0,0.3188900715510614,0.21165402259339078,7.628701356611718e-05,6.83622131041289e-05,8.491094079566255e-05,8.410181375473249e-05,-0.00011111751388617141,29,2774.443679197802,3096.0674469534897,2492.6590214414696,2516.6404045772533,mom,2516.6404045772533,False,0.018639754120308476
rim_share,def,1450,113262.0,0.3000476770673306,0.20469316419500524,0.0008584281342005571,0.000859530073693405,0.0008448945357695554,0.0008765328028750986,-8.957171169435209e-05,29,238.4511364898744,238.1454360467432,242.27066873922266,233.5259599225438,mom,233.5259599225438,False,0.2521824527636907
mid_share,def,1450,113262.0,0.5317935406402854,0.24157830105105502,0.0011066446934702525,0.0011096675286118346,0.0010737894816194768,0.0011442746385740853,-0.00012739709192451855,29,218.29797989949773,217.70331637374596,224.97733977307118,211.1191604771499,mom,211.1191604771499,False,0.27163404105566313
thr_share,def,1450,113262.0,0.16815878229238404,0.13581862580567247,0.00018935501982169612,0.00019303167542549616,0.00019756356248919242,0.0002282929213991786,-7.750790764701308e-05,29,717.2697398440478,703.6079726619478,687.467993057183,594.9313932874361,mom,594.9313932874361,False,0.11704854147703149
ftr,def,1450,129907.0,0.2806546221527708,0.1937182432086535,0.0008433836293764157,0.0008340913560962373,0.0008520905991591674,0.0009021672438738221,-0.00014656774323531174,29,229.6917280121807,232.25063033299475,227.34465489915308,214.72542316748877,mom,214.72542316748877,False,0.2955250467703101
