window,side,n,poss_pct_mean,poss_pct_sd,gs_pct_mean,gs_pct_sd,age_mean,age_sd,apm_mean,apm_sd,spm_mean,spm_sd,u_mean,u_sd,rapm1_mean,rapm1_sd
2018-2018,D,540,0.4455262948164593,0.17190514766954598,0.5860792621245731,0.4001471671077287,26.897841237181826,4.170233155927976,-0.17448729860354842,2.9058878152988736,0.0,0.7263168236477985,-0.027204601209657352,0.46758752736375886,-0.02720460120965733,0.8488464425517915
2018-2018,O,540,0.445736000504448,0.1718245198194138,0.5866347740744394,0.40009115802823697,26.899197723426145,4.171298862291202,1.120637753067449,3.608815583902577,-1.2073072070791866e-16,1.3995372549387013,0.010842634916140048,0.39581588393248146,0.010842634916139897,1.4810558413890793
2019-2019,D,530,0.43974774513564735,0.17001787173985006,0.583109942276597,0.39630331802324814,26.725375944406288,4.109122912561076,-0.2394167251123222,2.994058182907166,2.3517296639920573e-17,0.6497939412835404,-0.033736407656260334,0.4831766155981356,-0.03373640765626032,0.8467928634189144
2019-2019,O,530,0.4399666501899538,0.16997443085642755,0.5836464646338231,0.39626952885934885,26.725443820451698,4.109346507416568,1.1143221986841179,3.685759529951163,-9.406918655968229e-17,1.3914858137766313,0.0174736943602408,0.3955319441427574,0.017473694360240745,1.465641143340879
2020-2020,D,529,0.43917911118355807,0.16578329387509314,0.5843232440351709,0.4031022652801127,26.50154536950421,4.088282950196767,-0.027657926320917195,3.186103704576466,0.0,0.7186592419482186,-0.0034711444198518774,0.45841209143672274,-0.003471144419851857,0.8883480347180751
2020-2020,O,529,0.43939297289510554,0.1657374617975945,0.5848966672456258,0.4030288094175342,26.502236669784846,4.088783700995816,0.7614937357483084,3.6099526832467883,-1.0890114296252088e-16,1.3295227359250372,0.008916461380718813,0.385106379533467,0.008916461380718737,1.3820249075443518
2021-2021,D,540,0.42132490893376195,0.1659930257521094,0.5896790686427215,0.3903079058305246,26.537258745546517,4.147870754496408,-0.2934733107206854,2.996923495337352,5.407598525970003e-17,0.7147030396081093,-0.018716834503836988,0.39433041754494413,-0.018716834503836925,0.8033843926021622
2021-2021,O,540,0.4215277749113814,0.165951702629555,0.5901646239730909,0.39027710035679364,26.53812180359623,4.147330713001384,1.3300154077617712,3.9905945088049597,-5.407598525970003e-17,1.3348112268980776,0.02869116720371822,0.4233274105509904,0.028691167203718143,1.4543062243545863
2022-2022,D,605,0.41509601763574816,0.1663618361236827,0.5921145194490274,0.3931149609623531,26.550800367530417,4.286149513400044,-0.2571687632361552,2.9887537055946147,-2.3983280214530392e-17,0.7272836344373066,-0.015925914540142302,0.42642481355631684,-0.01592591454014233,0.8500474565316094
2022-2022,O,605,0.4152498178237422,0.1663415974011327,0.5925694591007111,0.39309359013401535,26.550170786276116,4.286488758090789,1.3241604206172213,3.8394163201571634,-1.1991640107265196e-16,1.3319971223834988,0.016220222572348626,0.4138962571859885,0.016220222572348512,1.4275189170236906
2023-2023,D,539,0.4327648052182202,0.1679537072487587,0.6020493326474776,0.39548816683779836,26.493804689949467,4.230983869081586,-0.08893566223935023,2.851860714096101,9.480499682553764e-17,0.7190763765090689,-0.009479868595544996,0.46615197261720953,-0.009479868595544937,0.8290957889679146
2023-2023,O,539,0.43298708228237154,0.16790705221078472,0.6027063377377758,0.39541204081534725,26.49343659528725,4.23035540616545,1.0608472717714632,3.734914982496217,1.4220749523830645e-16,1.3237571878439622,0.012450706542727336,0.38847724559818475,0.01245070654272746,1.3740087066889772
2024-2024,D,572,0.4363090990056093,0.17619118630106517,0.601084135052294,0.387823151405634,26.79326768760954,4.327207415848308,-0.23592176147384875,3.1401526035810057,2.3891730080928702e-17,0.6723985144869646,-0.018737961072890195,0.5057232111828012,-0.018737961072890195,0.8395368836976635
2024-2024,O,572,0.43655839272287167,0.17614422058711085,0.601672999447593,0.38773431984420775,26.793225821016208,4.32607772789207,1.2648832202248894,3.514483170999166,0.0,1.4342570730317807,0.012403149436522863,0.4318366199955307,0.012403149436522968,1.4973410696906357
